block,sep_dur,Tx,trial,stimulus,cond,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stim.thisRepN,stim.thisTrialN,stim.thisN,stim.thisIndex,usr_input_t1.keys,usr_input_t1.rt,usr_input_t2.keys,usr_input_t2.rt,date,participant,expName,run,frameRate,
1,short,t1,1,C,distractor,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2018_Oct_17_1522,1001,rsvp,r2,60.9970100334,
1,short,t1,2,W,distractor,0,0,0,0,0,0,0,0,0,1,1,1,,,,,2018_Oct_17_1522,1001,rsvp,r2,60.9970100334,
1,short,t1,3,K,distractor,0,0,0,0,0,0,0,0,0,2,2,2,,,,,2018_Oct_17_1522,1001,rsvp,r2,60.9970100334,
1,short,t1,4,T,distractor,0,0,0,0,0,0,0,0,0,3,3,3,,,,,2018_Oct_17_1522,1001,rsvp,r2,60.9970100334,
1,short,t1,5,L,distractor,0,0,0,0,0,0,0,0,0,4,4,4,,,,,2018_Oct_17_1522,1001,rsvp,r2,60.9970100334,
1,short,t1,6,L,distractor,0,0,0,0,0,0,0,0,0,5,5,5,,,,,2018_Oct_17_1522,1001,rsvp,r2,60.9970100334,
1,short,t1,7,S,distractor,0,0,0,0,0,0,0,0,0,6,6,6,,,,,2018_Oct_17_1522,1001,rsvp,r2,60.9970100334,
1,short,t1,8,J,distractor,0,0,0,0,0,0,0,0,0,7,7,7,,,,,2018_Oct_17_1522,1001,rsvp,r2,60.9970100334,
1,short,t1,9,L,distractor,0,0,0,0,0,0,0,0,0,8,8,8,,,,,2018_Oct_17_1522,1001,rsvp,r2,60.9970100334,
1,short,t1,10,1,target,0,0,0,0,0,0,0,0,0,9,9,9,,,,,2018_Oct_17_1522,1001,rsvp,r2,60.9970100334,
1,short,t1,11,M,distractor,0,0,0,0,0,0,0,0,0,10,10,10,,,,,2018_Oct_17_1522,1001,rsvp,r2,60.9970100334,
1,short,t1,12,I,distractor,0,0,0,0,0,0,0,0,0,11,11,11,,,,,2018_Oct_17_1522,1001,rsvp,r2,60.9970100334,
1,short,t1,13,K,distractor,0,0,0,0,0,0,0,0,0,12,12,12,,,,,2018_Oct_17_1522,1001,rsvp,r2,60.9970100334,
1,short,t1,14, ,mask,0,0,0,0,0,0,0,0,0,13,13,13,,,,,2018_Oct_17_1522,1001,rsvp,r2,60.9970100334,
1,short,t1,15,Z,distractor,0,0,0,0,0,0,0,0,0,14,14,14,,,,,2018_Oct_17_1522,1001,rsvp,r2,60.9970100334,
1,short,t1,16,N,distractor,0,0,0,0,0,0,0,0,0,15,15,15,,,,,2018_Oct_17_1522,1001,rsvp,r2,60.9970100334,
1,short,t1,17,K,distractor,0,0,0,0,0,0,0,0,0,16,16,16,,,,,2018_Oct_17_1522,1001,rsvp,r2,60.9970100334,
1,short,t1,18,G,distractor,0,0,0,0,0,0,0,0,0,17,17,17,,,,,2018_Oct_17_1522,1001,rsvp,r2,60.9970100334,
,,,,,,0,0,0,0,0,0,0,0,,,,,5,1.1295986711,5,0.152295905282,2018_Oct_17_1522,1001,rsvp,r2,60.9970100334,
